,name,title_english,title_japanese,type,source,producers,genre,studio,episodes,duration,rating,score,scored_by,rank,popularity,favorites,broadcast,premiered_season,premiered_year
2164,Haja Kyosei G Dangaiou,Great Great Star G Dangaio,破邪巨星Gダンガイオ,TV,Unknown,AIC,Action,,13.0,23 min per ep,PG-13 - Teens 13 or older,5.39,468.0,9152.0,7522.0,2.0,Unknown,Spring,2001
2166,Izumo: Takeki Tsurugi no Senki,Izumo: Flash of a Brave Sword,IZUMO -猛き剣の閃記-,TV,Visual novel,Trinet Entertainment,Supernatural,,12.0,25 min per ep,PG-13 - Teens 13 or older,6.31,2844.0,6590.0,4049.0,15.0,Unknown,Spring,2005
2184,Lady Georgie,Lady Georgie,レディジョージィ,TV,Manga,TV Asahi,Historical,Tokyo Movie Shinsha,45.0,24 min per ep,PG-13 - Teens 13 or older,7.26,2574.0,2627.0,4942.0,45.0,Saturdays at 19:00 (JST),Spring,1983
2185,Robin Hood no Daibouken,The Great Adventures of Robin Hood,ロビンフッドの大冒険,TV,Unknown,NHK,Historical,Tatsunoko Production,52.0,25 min per ep,G - All Ages,7.22,2619.0,2797.0,5171.0,18.0,Unknown,Summer,1990
2186,Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,The Swiss Family Robinson: Flone of the Mysterious Island,家族ロビンソン漂流記ふしぎな島のフローネ,TV,Novel,,Historical,Nippon Animation,50.0,24 min per ep,G - All Ages,7.3,1183.0,2472.0,6536.0,9.0,Sundays at 19:30 (JST),Winter,1981
2187,Huckleberry no Bouken,Huckleberry Adventure,ハックルベリィの冒険,TV,Novel,,Drama,Group TAC,26.0,25 min per ep,G - All Ages,6.21,420.0,6991.0,8793.0,0.0,Unknown,Winter,1976
2188,Alps Monogatari: Watashi no Annette,Alps Story My Annet,アルプス物語　わたしのアンネット,TV,Unknown,,Slice of Life,Nippon Animation,48.0,25 min per ep,G - All Ages,6.73,961.0,4744.0,6966.0,8.0,Sundays at 19:30 (JST),Winter,1983
2189,Princess Sara,A Little Princess Sara,小公女セーラ,TV,Novel,,Slice of Life,Nippon Animation,46.0,25 min per ep,G - All Ages,7.76,5745.0,977.0,3774.0,54.0,Sundays at 19:30 (JST),Winter,1985
2190,Ai no Wakakusa Monogatari,Tales of Little Women,愛の若草物語,TV,Novel,,Slice of Life,Nippon Animation,48.0,24 min per ep,G - All Ages,7.5,1791.0,1657.0,5384.0,24.0,Sundays at 19:30 (JST),Winter,1987
2191,Perrine Monogatari,Peline story,ペリーヌ物語,TV,Novel,Bandai Visual,Drama,Nippon Animation,53.0,25 min per ep,G - All Ages,7.6,618.0,1373.0,6595.0,12.0,Sundays at 19:30 (JST),Winter,1978
2194,Tetsuko no Tabi,Tetsuko's journey,鉄子の旅,TV,Manga,Shogakukan Productions,Seinen,Group TAC,13.0,24 min per ep,PG-13 - Teens 13 or older,6.5,302.0,5814.0,7716.0,6.0,Unknown,Summer,2007
2195,Flanders no Inu,A Dog of Flanders,フランダースの犬,TV,Novel,,Historical,Nippon Animation,52.0,26 min per ep,G - All Ages,7.45,909.0,1830.0,5899.0,9.0,Sundays at 19:30 (JST),Winter,1975
2196,Ai Shoujo Pollyanna Story,Love Girl Polyanna Monogatari,愛少女ポリアンナ物語,TV,Novel,,Drama,Nippon Animation,51.0,26 min per ep,G - All Ages,6.94,1254.0,3855.0,6188.0,13.0,Sundays at 19:30 (JST),Winter,1986
2197,Shoukoushi Cedie,Little Lord Fauntleroy,小公子セディ,TV,Novel,Fuji TV,Slice of Life,Nippon Animation,43.0,24 min per ep,G - All Ages,7.48,843.0,1752.0,7028.0,12.0,Sundays at 19:30 (JST),Winter,1988
2198,Jungle Taitei (1989),Jungle Emperor,ジャングル大帝,TV,Manga,TV Tokyo,Adventure,,52.0,30 min per ep,G - All Ages,6.77,952.0,4555.0,6825.0,9.0,Unknown,Fall,1989
2199,Trapp Ikka Monogatari,The Trapp Family Story,トラップ 一家 物語,TV,Unknown,Fuji TV,Historical,Nippon Animation,40.0,23 min per ep,G - All Ages,7.71,1887.0,1105.0,5580.0,14.0,Sundays at 19:30 (JST),Winter,1991
2200,Wakakusa Monogatari: Nan to Jo-sensei,Little Women II: Jo's Boys,若草物語ナンとジョー先生,TV,Unknown,,Historical,Nippon Animation,40.0,25 min per ep,G - All Ages,7.69,1618.0,1144.0,5895.0,17.0,Sundays at 19:30 (JST),Winter,1993
2201,Romeo no Aoi Sora,Romeo and the Black Brothers,ロミオの青い空,TV,Novel,,Slice of Life,Nippon Animation,33.0,23 min per ep,PG-13 - Teens 13 or older,8.42,8785.0,161.0,2565.0,363.0,Sundays at 19:30 (JST),Winter,1995
2203,Captain Future,Captain future,キャプテンフューチャー,TV,Novel,,Adventure,Toei Animation,52.0,23 min per ep,PG-13 - Teens 13 or older,7.13,1151.0,3143.0,6719.0,23.0,Unknown,Fall,1978
2204,Shion no Ou,King Shion -The Flowers of Hard Blood,しおんの王 - The Flowers of Hard Blood,TV,Manga,Yomiko Advertising,Game,Studio Deen,22.0,23 min per ep,PG-13 - Teens 13 or older,7.62,8501.0,1326.0,2575.0,81.0,Unknown,Fall,2007
2206,Code-E,CODE-E,CODE-E,TV,Original,Nagoya Broadcasting Network,School,Studio Deen,12.0,24 min per ep,G - All Ages,6.48,6032.0,5858.0,3413.0,19.0,Unknown,Summer,2007
2207,Jungle Taitei: Susume Leo!,Jungle Emperor / Professional Leo,ジャングル大帝・進めレオ,TV,Manga,,Shounen,Mushi Production,26.0,20 min per ep,G - All Ages,6.66,487.0,5062.0,8057.0,5.0,Wednesdays at 19:00 (JST),Fall,1966
2208,Uchuujin Tanaka Tarou,Taro the Space Alien,うちゅう人田中太郎,TV,Unknown,Viz Media,Comedy,,24.0,20 min per ep,G - All Ages,6.26,196.0,6829.0,9907.0,1.0,Unknown,Spring,2000
2209,Pinocchio yori Piccolino no Bouken,The Adventures of Piccolino,ピノキオより ピコリーノの冒険,TV,Novel,,Kids,Nippon Animation,52.0,24 min per ep,G - All Ages,6.24,571.0,6886.0,8502.0,2.0,Unknown,Spring,1976
2210,Kojika Monogatari,Story of a Fawn,子鹿物語 THE YEARLING,TV,Novel,Visual 80,Drama,,52.0,30 min per ep,G - All Ages,6.47,136.0,5915.0,10320.0,0.0,Unknown,Fall,1983
2211,Jungle Book Shounen Mowgli,The Jungle Book,ジャングルブック・少年モーグリ,TV,Book,,Drama,Nippon Animation,52.0,30 min per ep,G - All Ages,6.98,2287.0,3735.0,5658.0,12.0,Unknown,Fall,1989
2212,Ochame na Futago: Claire Gakuin Monogatari,The Mischevious Twins,おちゃめな双子　－クレア学院物語－,TV,Novel,Tokyo Movie Shinsha,Historical,TMS Entertainment,26.0,25 min per ep,G - All Ages,7.11,673.0,3256.0,7767.0,4.0,Unknown,Winter,1991
2213,Mitsubachi Maya no Bouken,Maya the Bee,みつばちマーヤの冒険,TV,Book,,Adventure,Nippon Animation,52.0,25 min per ep,G - All Ages,6.43,3262.0,6072.0,4976.0,15.0,Tuesdays at 19:30 (JST),Spring,1975
2214,Fushigi no Kuni no Alice,Alice in Wonderland,ふしぎの国のアリス,TV,Book,,Fantasy,Nippon Animation,52.0,26 min per ep,G - All Ages,6.5,836.0,5776.0,7324.0,6.0,Unknown,Fall,1983
2215,Minami no Niji no Lucy,Lucy-May of the Southern Rainbow,南の虹のルーシー,TV,Unknown,,Drama,Nippon Animation,50.0,25 min per ep,G - All Ages,7.03,305.0,3560.0,8491.0,4.0,Sundays at 19:30 (JST),Winter,1982
2216,Kashi no Ki Mokku,Oak wood mock,樫の木モック,TV,Unknown,,Fantasy,Tatsunoko Production,52.0,24 min per ep,G - All Ages,5.88,496.0,8031.0,8700.0,3.0,Unknown,Winter,1972
2217,Don Chuck Monogatari,Don Chuck Stories,ドンチャック物語,TV,Unknown,Knack Productions,Adventure,,26.0,25 min per ep,G - All Ages,6.07,242.0,7496.0,9900.0,2.0,Unknown,Spring,1975
2218,Araiguma Rascal,Raccoon Rascal,あらいぐまラスカル,TV,Book,,Drama,Nippon Animation,52.0,26 min per ep,G - All Ages,6.73,412.0,4746.0,8086.0,2.0,Sundays at 19:30 (JST),Winter,1977
2219,Tom Sawyer no Bouken,The Adventures of Tom Sawyer,トム・ソーヤーの冒険,TV,Book,,Adventure,Nippon Animation,49.0,25 min per ep,G - All Ages,7.17,1649.0,3013.0,5915.0,19.0,Sundays at 19:30 (JST),Winter,1980
2220,TaoTao Ehonkan Sekai Doubutsu Banashi,Taotao Picture Hall,タオタオ絵本館,TV,Original,,Comedy,,52.0,30 min per ep,PG - Children,6.95,369.0,3848.0,9192.0,2.0,Unknown,Fall,1983
2221,Anime 80-nichikan Sekai Isshuu,Around the World with Willy Fog,アニメ80日間世界一周,TV,Novel,,Romance,Nippon Animation,26.0,25 min per ep,G - All Ages,6.87,1738.0,4125.0,6395.0,6.0,Saturdays at 19:30 (JST),Winter,1984
2223,Mobile Suit Gundam 00,Mobile Suit Gundam 00,機動戦士ガンダム00,TV,Original,Sotsu,Mecha,Sunrise,25.0,24 min per ep,R - 17+ (violence & profanity),8.2,86226.0,322.0,616.0,4003.0,Saturdays at 18:00 (JST),Fall,2007
2224,Soukou Kihei Votoms,Armored Trooper Votoms,装甲騎兵ボトムズ,TV,Original,TV Tokyo,Mecha,Sunrise,52.0,25 min per ep,PG-13 - Teens 13 or older,7.81,3290.0,885.0,3505.0,283.0,Unknown,Spring,1983
2236,D.C.II: Da Capo II,D.C.II ~ Da Capo II-,D.C.II ～ダ・カーポII～,TV,Visual novel,Starchild Records,Ecchi,feel.,13.0,25 min per ep,PG-13 - Teens 13 or older,7.0,13291.0,3667.0,2331.0,43.0,Unknown,Fall,2007
2237,Shinreigari: Ghost Hound,Ghost Hound,神霊狩 GHOST HOUND,TV,Original,WOWOW,Supernatural,Production I.G,22.0,25 min per ep,PG-13 - Teens 13 or older,7.53,31669.0,1584.0,967.0,638.0,Unknown,Fall,2007
2239,Juusenki L-Gaim,Heavy weapon Elgain,重戦機エルガイム,TV,Original,Sotsu,Adventure,Sunrise,54.0,24 min per ep,PG-13 - Teens 13 or older,6.8,567.0,4425.0,6226.0,11.0,Unknown,Winter,1984
2243,Kenkou Zenrakei Suieibu Umishou,Kenko naked swimming club Umi Show,ケンコー全裸系水泳部 ウミショー,TV,Manga,Geneon Universal Entertainment,Sports,Artland,13.0,25 min per ep,PG-13 - Teens 13 or older,7.21,13848.0,2820.0,2281.0,87.0,Unknown,Summer,2007
2244,Mushi-Uta,Mushi-Uta,ムシウタ,TV,Light novel,WOWOW,Sci-Fi,Zexcs,12.0,24 min per ep,PG-13 - Teens 13 or older,6.73,5389.0,4771.0,3494.0,31.0,Unknown,Summer,2007
2245,Sky Girls,Sky Girls,スカイガールズ,TV,Original,Konami,Sci-Fi,J.C.Staff,26.0,24 min per ep,PG-13 - Teens 13 or older,7.08,7269.0,3368.0,2911.0,46.0,Unknown,Summer,2007
2246,Sayonara Zetsubou Sensei,"Sayonara, Zetsubou-Sensei",さよなら絶望先生,TV,Manga,Starchild Records,Shounen,Shaft,12.0,24 min per ep,R - 17+ (violence & profanity),7.97,91607.0,605.0,368.0,4045.0,Unknown,Summer,2007
2249,Wangan Midnight,Gulf Midnight,湾岸ミッドナイト,TV,Manga,OB Planning,Sports,A.C.G.T.,26.0,25 min per ep,PG-13 - Teens 13 or older,7.49,6430.0,1718.0,3194.0,193.0,Unknown,Summer,2007
2250,Kakyuusei (TV),Junior high school student,下級生,TV,Visual novel,Pink Pineapple,Romance,,13.0,25 min per ep,PG-13 - Teens 13 or older,6.3,457.0,6634.0,6555.0,2.0,Fridays at 00:35 (JST),Summer,1999
2253,Spoon Oba-san,Spoon Oba-san,スプーンおばさん,TV,Novel,Gakken,Kids,Studio Pierrot,130.0,10 min per ep,PG - Children,6.77,542.0,4578.0,8351.0,2.0,Unknown,Spring,1983
2254,Mirai Shounen Conan 2: Taiga Daibouken,Future Boy Conan 2: River Adventure,未来少年コナンII　タイガアドベンチャー,TV,Unknown,,Adventure,Nippon Animation,24.0,23 min per ep,PG-13 - Teens 13 or older,6.88,305.0,4105.0,8245.0,1.0,Unknown,Fall,1999
2259,Takarajima,Treasure island,宝島,TV,Novel,Tokyo Movie Shinsha,Historical,Madhouse,26.0,24 min per ep,PG-13 - Teens 13 or older,8.02,3442.0,549.0,4057.0,132.0,Sundays at Unknown,Fall,1978
2260,Spider Riders: Oracle no Yuusha-tachi,Spider Riders,スパイダーライダーズ ～オラクルの勇者たち～,TV,Novel,TV Tokyo,Adventure,Bee Train,26.0,23 min per ep,PG - Children,6.69,2234.0,4942.0,5169.0,19.0,Unknown,Spring,2006
2261,Spider Riders: Yomigaeru Taiyou,Spider Riders: Resurrected Sun,スパイダーライダーズ ～よみがえる太陽～,TV,Novel,Bee Train,Adventure,,26.0,23 min per ep,PG - Children,6.77,1236.0,4577.0,6691.0,5.0,Unknown,Spring,2007
2265,"Flanders no Inu, Boku no Patrasche",A Dog of Flanders: My Patrasche,フランダースの犬　～ぼくのパトラッシュ～,TV,Novel,Tokyo Movie Shinsha,Drama,TMS Entertainment,26.0,25 min per ep,G - All Ages,7.22,320.0,2776.0,8498.0,2.0,Unknown,Fall,1992
2322,Tokyo Majin Gakuen Kenpucho: Tou Dai Ni Maku,Tokyo Majin Gakuen Kenkaze 龖 (Tou) Act 2,東京魔人學園剣風帖　龖（トウ） 第弐幕,TV,Game,,Mystery,AIC Spirits,12.0,24 min per ep,R - 17+ (violence & profanity),7.35,11226.0,2295.0,2487.0,66.0,Fridays at Unknown,Summer,2007
2323,Buzzer Beater 2nd Season,BUZZER BEATER 2nd term,BUZZER BEATER 第2期,TV,Web manga,,Shounen,TMS Entertainment,13.0,25 min per ep,PG-13 - Teens 13 or older,6.92,2972.0,3940.0,4793.0,3.0,Wednesdays at 00:56 (JST),Summer,2007
2325,Tetsujin 28-gou,Gigantor,鉄人２８号,TV,Manga,,Adventure,Eiken,96.0,25 min per ep,G - All Ages,6.57,371.0,5499.0,7626.0,6.0,Unknown,Fall,1963
2326,Gokuu no Daibouken,Adventures of the Monkey King,悟空の大冒険,TV,Unknown,Fuji TV,Comedy,Mushi Production,39.0,25 min per ep,G - All Ages,6.43,91.0,6060.0,10447.0,2.0,Unknown,Winter,1967
2327,Akai Koudan Zillion,Zillion,赤い光弾ジリオン,TV,Game,Victor Entertainment,Action,Production I.G,31.0,24 min per ep,PG-13 - Teens 13 or older,6.7,676.0,4867.0,6529.0,13.0,Unknown,Spring,1987
2333,Hidamari no Ki,Tree in the Sun,陽だまりの樹,TV,Manga,VAP,Historical,Madhouse,25.0,23 min per ep,R+ - Mild Nudity,6.6,132.0,5341.0,8550.0,2.0,Wednesdays at 00:50 (JST),Spring,2000
2337,Uchuu Kaizoku Mito no Daibouken,Space Pirate Mito,宇宙海賊ミトの大冒険,TV,Unknown,Bandai Visual,Action,Genco,13.0,24 min per ep,PG-13 - Teens 13 or older,6.55,434.0,5604.0,8055.0,3.0,Tuesdays at 01:15 (JST),Winter,1999
2338,Uchuu Kaizoku Mito no Daibouken: Futari no Joou-sama,Space Pirate Mito 2,宇宙海賊ミトの大冒険 2人の女王様,TV,Unknown,,Comedy,Xebec,13.0,24 min per ep,PG-13 - Teens 13 or older,6.33,262.0,6532.0,9198.0,1.0,Tuesdays at 01:15 (JST),Summer,1999
2340,Bakukyuu Renpatsu!! Super B-Daman,Bakushi series !! Super Bidaman,爆球連発!!スーパービーダマン,TV,Unknown,,Kids,Xebec,18.0,40 min per ep,G - All Ages,6.43,288.0,6050.0,9213.0,4.0,Unknown,Winter,1999
2341,Chousoku Spinner,Super YoYo,超速スピナー,TV,Manga,Shogakukan Productions,Shounen,Xebec,22.0,23 min per ep,G - All Ages,6.77,1349.0,4539.0,6576.0,11.0,Unknown,Fall,1998
2342,Kaiketsu Jouki Tanteidan,Steam Detectives,快傑蒸気探偵団,TV,Manga,Studio Tron,Police,Xebec,26.0,24 min per ep,PG-13 - Teens 13 or older,6.73,657.0,4756.0,6479.0,6.0,Wednesdays at 18:00 (JST),Fall,1998
2343,Bakusou Kyoudai Let's & Go,Bakushi Brothers Let's & Go !!,爆走兄弟レッツ＆ゴー!!,TV,Manga,,Cars,Production I.G,51.0,25 min per ep,G - All Ages,6.87,3460.0,4128.0,4777.0,34.0,Mondays at 18:00 (JST),Winter,1996
2344,Bakusou Kyoudai Let's & Go WGP,Bakushi Brothers Let's & Go !! WGP,爆走兄弟レッツ＆ゴー!!　ＷＧＰ,TV,Manga,,Shounen,Xebec,51.0,25 min per ep,G - All Ages,7.06,2049.0,3422.0,6051.0,28.0,Mondays at 18:00 (JST),Winter,1997
2345,Majime ni Fumajime Kaiketsu Zorori,"Seriously, seriously kaiketsuzorori",まじめにふまじめ　かいけつゾロリ,TV,Unknown,Nagoya Broadcasting Network,Adventure,Ajia-Do,97.0,24 min per ep,PG - Children,6.97,184.0,3776.0,9672.0,3.0,Unknown,Winter,2005
2347,Bakusou Kyoudai Let's & Go MAX,Bakushi Brothers Let's & Go !! MAX,爆走兄弟レッツ＆ゴー!! ＭＡＸ,TV,Manga,,Sports,Xebec,51.0,25 min per ep,G - All Ages,6.68,1192.0,4954.0,7096.0,13.0,Mondays at 18:00 (JST),Winter,1998
2350,Rockman.EXE Beast+,Rockman Exebeast+(Plus),ロックマンエグゼビースト+（プラス）,TV,Unknown,,Mecha,Xebec,26.0,10 min per ep,PG - Children,7.01,1397.0,3644.0,5585.0,6.0,Unknown,Spring,2006
2353,Urayasu Tekkin Kazoku,Urayasu reinforcement family,浦安鉄筋家族,TV,Unknown,TBS,Comedy,Studio Deen,33.0,7 min per ep,R - 17+ (violence & profanity),7.08,381.0,3370.0,8384.0,9.0,Unknown,Summer,1998
2354,Ginga Tetsudou Monogatari: Eien e no Bunkiten,Galaxy Railway Story -Eternal Bringing Points-,銀河鉄道物語 ～永遠への分岐点～,TV,Original,CBC,Action,,24.0,24 min per ep,PG-13 - Teens 13 or older,6.98,668.0,3731.0,6717.0,4.0,Unknown,Fall,2006
2355,Umi no Triton,Triton of the Sea,海のトリトン,TV,Manga,,Fantasy,,27.0,23 min per ep,G - All Ages,6.49,331.0,5853.0,8722.0,4.0,Unknown,Spring,1972
2356,MapleStory,Maple story,メイプルストーリー,TV,Game,TV Tokyo,Comedy,Madhouse,25.0,25 min per ep,PG - Children,5.44,971.0,9042.0,5855.0,4.0,Unknown,Fall,2007
2362,Sweet Valerian,Sweet Valerian,スウィート・ヴァレリアン,TV,Original,Aniplex,Magic,Madhouse,18.0,3 min per ep,G - All Ages,5.8,714.0,8251.0,7288.0,2.0,Unknown,Summer,2004
2367,Baby Baachan,Baby Grandma,ベイベーばあちゃん,TV,Original,Bandai Visual,Comedy,,53.0,35 min per ep,G - All Ages,6.66,157.0,5041.0,10016.0,0.0,Not scheduled once per week,Spring,2002
2370,Mugen Senki Portriss,Infinite Senki Potris,無限戦記ポトリス,TV,Unknown,TV Tokyo,Action,Sunrise,52.0,25 min per ep,PG - Children,5.61,31.0,12106.0,11410.0,0.0,Unknown,Spring,2003
2371,Mojakou,Moja,モジャ公,TV,Unknown,TV Tokyo,Sci-Fi,OLM,74.0,25 min per ep,G - All Ages,7.26,805.0,2635.0,7882.0,10.0,Tuesdays at 18:30 (JST),Fall,1995
2373,Kasumin 3rd Season,Kasmin (3rd series),カスミン (第3シリーズ),TV,Unknown,NHK,Fantasy,OLM,26.0,25 min per ep,PG - Children,6.26,65.0,6804.0,10831.0,3.0,Unknown,Spring,2003
2375,Monkey Turn,Monkey turn,モンキーターン,TV,Manga,,Action,OLM,25.0,23 min per ep,PG-13 - Teens 13 or older,6.36,147.0,6381.0,9124.0,1.0,Unknown,Winter,2004
2376,Monkey Turn V,Monkey Turn V,モンキー ターン V,TV,Manga,AIC,Sports,OLM,25.0,24 min per ep,PG-13 - Teens 13 or older,6.56,66.0,5542.0,10672.0,0.0,Unknown,Summer,2004
2377,Omoikkiri Kagaku Adventure Sou Nanda!,Full-Blast Science Adventure: So That's How It Is!,おもいっきり科学アドベンチャー そーなんだ!,TV,Unknown,TV Tokyo,Comedy,OLM,26.0,20 min per ep,None,5.84,31.0,12364.0,11234.0,0.0,Unknown,Fall,2003
2379,Potemayo,Potemayo,ぽてまよ,TV,4-koma manga,Lantis,School,J.C.Staff,12.0,24 min per ep,PG-13 - Teens 13 or older,7.35,5274.0,2280.0,3518.0,63.0,Unknown,Summer,2007
2382,Tetsuwan Atom,Astro Boy,鉄腕アトム,TV,Manga,Meiji Seika,Sci-Fi,Mushi Production,193.0,26 min per ep,PG - Children,7.24,1875.0,2721.0,4543.0,31.0,Saturdays at 19:00 (JST),Winter,1963
2383,Dash! Kappei,Dash Katsuhei,ダッシュ勝平,TV,Unknown,,Shounen,Tatsunoko Production,65.0,25 min per ep,PG-13 - Teens 13 or older,7.28,1677.0,2539.0,6052.0,24.0,Unknown,Fall,1981
2384,Heisei Inu Monogatari Bow,Heisei Period Dog Tale Bow,平成イヌ物語バウ,TV,Original,Daiichikosho,Adventure,Nippon Animation,40.0,25 min per ep,G - All Ages,6.84,213.0,4248.0,9727.0,2.0,Unknown,Fall,1993
2392,Juuni Senshi Bakuretsu Eto Ranger,Twelve rounds blast Etranger,十二戦支　爆烈エトレンジャー,TV,Original,,Fantasy,Shaft,39.0,25 min per ep,PG-13 - Teens 13 or older,6.97,346.0,3767.0,8398.0,6.0,Unknown,Spring,1995
2393,Shippuu! Iron Leaguer,Greek!Iron Leaguer,疾風！ アイアンリーガー,TV,Original,TV Tokyo,Sports,Sunrise,52.0,24 min per ep,PG-13 - Teens 13 or older,7.16,175.0,3056.0,9470.0,12.0,Tuesdays at 18:00 (JST),Spring,1993
2397,Igano Kabamaru,Igano Kaba Maru,伊賀野カバ丸,TV,Manga,Toho,Action,Group TAC,24.0,23 min per ep,PG-13 - Teens 13 or older,8.03,2816.0,529.0,4602.0,102.0,Thursdays at 19:00 (JST),Fall,1983
2399,Super Doll Licca-chan,Super Doll Rika -chan,スーパードール リカちゃん,TV,Unknown,TV Tokyo,Comedy,Madhouse,52.0,25 min per ep,G - All Ages,6.63,872.0,5234.0,6880.0,2.0,Tuesdays at 18:30 (JST),Fall,1998
2402,Galactic Patrol Lensman,Galactic Patrol Lensman,GALACTIC PATROL　レンズマン,TV,Unknown,Tatsunoko Production,Sci-Fi,Madhouse,25.0,25 min per ep,PG-13 - Teens 13 or older,6.47,133.0,5907.0,9262.0,1.0,Unknown,Fall,1984
2404,Chou Kuse ni Narisou,I'll Make a Habit of It,超くせになりそう,TV,Manga,,Shoujo,Studio Kyuuma,39.0,25 min per ep,PG-13 - Teens 13 or older,6.41,124.0,6141.0,8607.0,1.0,Tuesdays at 18:00 (JST),Spring,1994
2405,Juushin Enbu: Hero Tales,Hero Tales,獣神演武 - HERO TALES -,TV,Manga,Square Enix,Shounen,Studio Flag,26.0,24 min per ep,PG-13 - Teens 13 or older,6.93,7464.0,3911.0,2862.0,38.0,Unknown,Fall,2007
2412,Saint Luminous Jogakuin,St. Luminous Mission High School,聖ルミナス女学院,TV,Original,Genco,Supernatural,Triangle Staff,13.0,24 min per ep,PG-13 - Teens 13 or older,6.13,579.0,7309.0,7247.0,4.0,Tuesdays at 01:15 (JST),Fall,1998
2414,Oyayubi Hime Monogatari,Thumbelina: A Magical Story,おやゆび姫物語,TV,Book,Enoki Films,Shoujo,,26.0,24 min per ep,G - All Ages,6.73,294.0,4773.0,8913.0,2.0,Unknown,Spring,1992
2417,Bakegyamon,Monster door,妖逆門,TV,Manga,TV Tokyo,Action,Radix,51.0,25 min per ep,PG - Children,6.76,416.0,4600.0,7344.0,13.0,Mondays at 18:00 (JST),Spring,2006
2418,Shakugan no Shana II (Second),Shakugan no Shana: Season II,灼眼のシャナII –Second–,TV,Light novel,Geneon Universal Entertainment,School,J.C.Staff,24.0,24 min per ep,PG-13 - Teens 13 or older,7.7,131427.0,1120.0,362.0,1088.0,Fridays at 01:25 (JST),Fall,2007
2420,B-Legend! Battle B-Daman,Battle B-Daman,B-伝説(ビーレジェンド)! バトルビーダマン,TV,Manga,TV Tokyo,Kids,Nippon Animation,52.0,22 min per ep,PG - Children,6.35,4796.0,6401.0,4174.0,24.0,Mondays at 18:00 (JST),Winter,2004
2426,Dragonaut: The Resonance,Dragonaut - The Resonance,ドラゴノーツ-ザ・レソナンス-,TV,Original,Nihon Ad Systems,Drama,Gonzo,25.0,25 min per ep,R+ - Mild Nudity,6.75,25063.0,4663.0,1522.0,102.0,Unknown,Fall,2007
2430,Hello! Sandybell,Hello!Sandivel,ハロー！サンディベル,TV,Original,,Romance,Toei Animation,47.0,25 min per ep,G - All Ages,7.12,1819.0,3196.0,6036.0,22.0,Fridays at 19:30 (JST),Spring,1981
2432,Densetsu no Yuusha Da Garn,Legendary hero Da Ghan,伝説の勇者ダ・ガーン,TV,Unknown,Nagoya Broadcasting Network,Shounen,Sunrise,46.0,24 min per ep,PG-13 - Teens 13 or older,7.25,586.0,2654.0,6722.0,13.0,Unknown,Winter,1992
2434,Yadamon,Yadamon: Magical Dreamer,ヤダモン,TV,Unknown,Avaco Creative Studios,Comedy,,170.0,10 min per ep,PG-13 - Teens 13 or older,6.37,99.0,6352.0,9624.0,1.0,Not scheduled once per week,Summer,1992
2436,Fuusen Shoujo Temple-chan,Temple the Balloonist,風船少女テンプルちゃん,TV,Unknown,,Comedy,Tatsunoko Production,26.0,25 min per ep,G - All Ages,6.45,78.0,5982.0,11199.0,0.0,Unknown,Fall,1977
2437,Anime Himitsu no Hanazono,The Secret Garden,アニメ ひみつの花園,TV,Book,NHK,Drama,,39.0,25 min per ep,G - All Ages,7.1,1503.0,3274.0,6383.0,5.0,Unknown,Spring,1991
2440,Dondon Domeru to Ron,Wowser,どんどんドメルとロン,TV,Original,TV Tokyo,Kids,Telescreen BV,52.0,25 min per ep,G - All Ages,6.78,318.0,4506.0,9522.0,1.0,Mondays at 17:00 (JST),Spring,1988
2441,Geragera Boes Monogatari,Ox Tales,げらげらブース物語,TV,Other,TV Tokyo,Kids,Telescreen BV,52.0,24 min per ep,G - All Ages,7.12,583.0,3192.0,8591.0,7.0,Unknown,Spring,1987
2442,Toushou Daimos,Daimos,闘将ダイモス,TV,Unknown,Studio Nue,Mecha,Sunrise,44.0,24 min per ep,PG - Children,7.25,2013.0,2683.0,5888.0,23.0,Unknown,Spring,1978
2443,Cinderella Monogatari,The Story of Cinderella,シンデレラ物語,TV,Unknown,,Fantasy,Tatsunoko Production,26.0,24 min per ep,G - All Ages,7.44,2267.0,1862.0,5373.0,37.0,Thursdays at 18:00 (JST),Spring,1996
2444,Madou King Granzort,Mado King Granzort,魔動王グランゾート,TV,Original,Atelier Musa,Action,Sunrise,41.0,24 min per ep,G - All Ages,7.29,370.0,2515.0,8386.0,14.0,Unknown,Spring,1989
2445,Dragon Quest: Abel Yuusha Densetsu,Dragon Warrior,ドラゴンクエスト～勇者アベル伝説～,TV,Game,Studio Comet,Shounen,,43.0,24 min per ep,G - All Ages,7.05,664.0,3466.0,6440.0,14.0,Unknown,Winter,1990
2446,Time Travel Tondekeman!,Time Quest,たいむとらぶる トンデケマン!,TV,Original,,Action,Tatsunoko Production,39.0,23 min per ep,PG-13 - Teens 13 or older,7.42,536.0,1987.0,8236.0,13.0,Unknown,Fall,1989
2448,Bamboo Bears,Bamboo Bears,バンブー・ベアーズ,TV,Unknown,,Comedy,Telescreen BV,52.0,25 min per ep,None,6.32,151.0,6541.0,10234.0,2.0,Unknown,Spring,1997
2449,Barbapapa,Barbapapa,バーバパパ,TV,Picture book,KSS,Fantasy,Topcraft,45.0,5 min per ep,PG - Children,6.2,783.0,7017.0,7635.0,4.0,Unknown,Fall,1974
