,name,title_english,title_japanese,type,source,producers,genre,studio,episodes,duration,rating,score,scored_by,rank,popularity,favorites,broadcast,premiered_season,premiered_year
32,Arc the Lad,Arcsalad,アークザラッド,TV,Game,Sony Pictures Entertainment,Action,Bee Train,26.0,22 min per ep,R - 17+ (violence & profanity),6.59,4474.0,5373.0,3623.0,16.0,Mondays at 19:00 (JST),Spring,1999
33,Avenger,Avenger,アヴェンジャー,TV,Original,Production I.G,Adventure,Bee Train,13.0,24 min per ep,R - 17+ (violence & profanity),5.96,5451.0,7805.0,3427.0,19.0,Unknown,Fall,2003
34,Beck,Beck: Mongolian Chop Squad,ベック,TV,Manga,Marvelous,Music,Madhouse,26.0,25 min per ep,R - 17+ (violence & profanity),8.36,91614.0,197.0,448.0,6022.0,Thursdays at 01:30 (JST),Fall,2004
35,Blue Gender,Blue Gender,BLUE GENDER,TV,Original,Youmex,Space,AIC,26.0,23 min per ep,R+ - Mild Nudity,7.11,21542.0,3232.0,1586.0,360.0,Thursdays at 01:55 (JST),Fall,1999
36,Chobits,Chobits,ちょびっツ,TV,Manga,TBS,Seinen,Madhouse,26.0,24 min per ep,PG-13 - Teens 13 or older,7.51,182381.0,1629.0,211.0,3418.0,Wednesdays at 02:20 (JST),Spring,2002
37,Chrno Crusade,Chrono Crusade,クロノクルセイド,TV,Manga,Lantis,Supernatural,Gonzo,24.0,23 min per ep,R - 17+ (violence & profanity),7.75,81366.0,985.0,530.0,1946.0,Tuesdays at 02:28 (JST),Fall,2003
38,D.N.Angel,D.N.Angel,Ｄ・Ｎ・ＡＮＧＥＬ,TV,Manga,Kadokawa Shoten,Comedy,Xebec,26.0,23 min per ep,PG-13 - Teens 13 or older,7.3,78088.0,2456.0,637.0,1448.0,Unknown,Spring,2003
39,D.C.: Da Capo,D.C.~Da Capo~,D.C.～ダ・カーポ～,TV,Visual novel,Lantis,Drama,feel.,26.0,24 min per ep,PG-13 - Teens 13 or older,6.86,24731.0,4164.0,1485.0,183.0,Saturdays at Unknown,Summer,2003
40,DearS,DearS,ディアーズ,TV,Manga,Bandai Visual,Harem,Daume,12.0,23 min per ep,R+ - Mild Nudity,6.73,61303.0,4750.0,882.0,362.0,Sundays at Unknown,Summer,2004
41,Rozen Maiden,Rozen Maiden,ローゼンメイデン,TV,Manga,Mellow Head,Magic,Nomad,12.0,24 min per ep,PG-13 - Teens 13 or older,7.52,76580.0,1617.0,610.0,1929.0,Fridays at 01:55 (JST),Fall,2004
42,Rozen Maiden: Träumend,Rozen Maiden: Träumend,ローゼンメイデン ~ トロイメント,TV,Manga,Mellow Head,Magic,Nomad,12.0,24 min per ep,PG-13 - Teens 13 or older,7.73,48438.0,1053.0,1104.0,481.0,Fridays at 01:55 (JST),Fall,2005
43,Basilisk: Kouga Ninpou Chou,Basilisk,バジリスク 甲賀忍法帖,TV,Manga,GDH,Supernatural,Gonzo,24.0,24 min per ep,R - 17+ (violence & profanity),7.64,57199.0,1249.0,722.0,1345.0,Unknown,Spring,2005
44,Cluster Edge,Cluster Edge,CLUSTER EDGE（クラスターエッジ）,TV,Original,Bandai Visual,Sci-Fi,Sunrise,25.0,24 min per ep,PG-13 - Teens 13 or older,6.44,2241.0,6013.0,4332.0,13.0,Wednesdays at 01:00 (JST),Fall,2005
45,Full Metal Panic!,Full Metal Panic!,フルメタル・パニック！,TV,Light novel,Kadokawa Shoten,Mecha,Gonzo,24.0,24 min per ep,R - 17+ (violence & profanity),7.74,177049.0,1013.0,203.0,4032.0,Tuesdays at 18:30 (JST),Winter,2002
46,Full Metal Panic? Fumoffu,Full Metal Panic? Fumoffu,フルメタル・パニック? ふもっふ,TV,Light novel,Tatsunoko Production,Action,Kyoto Animation,12.0,24 min per ep,PG-13 - Teens 13 or older,8.14,133639.0,385.0,399.0,2743.0,Unknown,Summer,2003
47,Full Metal Panic! The Second Raid,Full Metal Panic! The Second Raid,フルメタル パニック！The Second Raid,TV,Light novel,Kadokawa Shoten,Military,Kyoto Animation,13.0,24 min per ep,R - 17+ (violence & profanity),8.02,115427.0,536.0,456.0,1287.0,Unknown,Summer,2005
